time_us,out0,out1,out2,out3,out4,out5,out6,out7
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
250000,-5.8377,-5.8377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
375000,-8.7390,-8.7390,-8.7390,0.0000,0.0000,0.0000,0.0000,0.0000
500000,-6.4532,-6.4532,-6.4532,0.0000,0.0000,0.0000,0.0000,0.0000
625000,-0.3397,2.7124,-0.9247,0.0000,0.0000,0.0000,0.0000,0.0000
750000,5.9708,8.6865,2.9111,0.0000,0.0000,0.0000,0.0000,0.0000
875000,8.7454,4.6896,6.1801,0.0000,0.0000,0.0000,0.0000,0.0000
1000000,6.3495,-4.5767,8.2446,0.0000,0.0000,0.0000,0.0000,0.0000
1125000,0.2057,-8.7152,8.7024,0.0000,0.0000,0.0000,0.0000,0.0000
1250000,-6.0568,-3.2587,6.6779,0.0000,0.0000,0.0000,0.0000,0.0000
1375000,-8.7479,5.7254,2.3010,0.0000,0.0000,0.0000,0.0000,0.0000
1500000,-6.2857,8.5147,-2.8848,0.0000,0.0000,0.0000,0.0000,0.0000
1625000,-0.1245,2.1988,-7.0563,0.0000,0.0000,0.0000,0.0000,0.0000
1750000,6.1084,-6.4236,-8.7454,0.0000,0.0000,0.0000,0.0000,0.0000
1875000,8.7488,-8.2809,-7.3581,0.0000,0.0000,0.0000,0.0000,0.0000
2000000,6.2469,-1.4825,-3.3832,0.0000,0.0000,0.0000,0.0000,0.0000
2125000,0.0754,6.8472,1.7819,0.0000,0.0000,0.0000,0.0000,0.0000
2250000,-6.1392,8.0768,6.3208,0.0000,0.0000,0.0000,0.0000,0.0000
2375000,-8.7491,0.9735,8.6356,0.0000,0.0000,0.0000,0.0000,0.0000
2500000,-6.2234,-7.1228,7.9141,0.0000,0.0000,0.0000,0.0000,0.0000
2625000,-0.0458,-7.9111,4.4620,0.0000,0.0000,0.0000,0.0000,0.0000
2750000,6.1581,-0.6107,-0.4504,0.0000,0.0000,0.0000,0.0000,0.0000
2875000,8.7494,7.3068,-5.1596,0.0000,0.0000,0.0000,0.0000,0.0000
3000000,6.2091,7.7817,-8.1659,0.0000,0.0000,0.0000,0.0000,0.0000
3125000,0.0275,0.3497,-8.5760,0.0000,0.0000,0.0000,0.0000,0.0000
3250000,-6.1697,-7.4246,-6.3342,0.0000,0.0000,0.0000,0.0000,0.0000
3375000,-8.7497,-7.6981,-2.1835,0.0000,0.0000,0.0000,0.0000,0.0000
3500000,-6.2003,-0.2039,2.5946,0.0000,0.0000,0.0000,0.0000,0.0000
3625000,-0.0168,7.4942,6.5784,0.0000,0.0000,0.0000,0.0000,0.0000
3750000,6.1765,7.6398,8.6191,0.0000,0.0000,0.0000,0.0000,0.0000
3875000,8.7497,0.0925,8.1546,0.0000,0.0000,0.0000,0.0000,0.0000
4000000,6.1960,-7.5461,5.3531,0.0000,0.0000,0.0000,0.0000,0.0000
4125000,0.0113,-7.5934,1.0376,0.0000,0.0000,0.0000,0.0000,0.0000
4250000,-6.1798,-0.0049,-3.5574,0.0000,0.0000,0.0000,0.0000,0.0000
4375000,-8.7497,7.5873,-7.1408,0.0000,0.0000,0.0000,0.0000,0.0000
4500000,-6.1926,7.5549,-8.7201,0.0000,0.0000,0.0000,0.0000,0.0000
4625000,-0.0067,-0.0662,-7.8720,0.0000,0.0000,0.0000,0.0000,0.0000
4750000,6.1832,-7.6126,-4.8468,0.0000,0.0000,0.0000,0.0000,0.0000
4875000,8.7497,-7.5388,-0.4898,0.0000,0.0000,0.0000,0.0000,0.0000
5000000,6.1896,0.0815,3.9948,0.0000,0.0000,0.0000,0.0000,0.0000
5125000,0.0024,7.6212,7.3795,0.0000,0.0000,0.0000,0.0000,0.0000
5250000,-6.1856,7.5287,8.7427,0.0000,0.0000,0.0000,0.0000,0.0000
5375000,-8.7497,-0.1031,7.7216,0.0000,0.0000,0.0000,0.0000,0.0000
5500000,-6.1884,-7.6324,4.5993,0.0000,0.0000,0.0000,0.0000,0.0000
5625000,-0.0012,-7.5165,0.2310,0.0000,0.0000,0.0000,0.0000,0.0000
5750000,6.1859,0.1294,-4.1968,0.0000,0.0000,0.0000,0.0000,0.0000
5875000,8.7497,7.6456,-7.4857,0.0000,0.0000,0.0000,0.0000,0.0000
6000000,6.1890,7.5024,-8.7479,0.0000,0.0000,0.0000,0.0000,0.0000
6125000,0.0024,-0.1587,-7.6462,0.0000,0.0000,0.0000,0.0000,0.0000
6250000,-6.1856,-7.6520,-4.4812,0.0000,0.0000,0.0000,0.0000,0.0000
6375000,-8.7497,-7.5024,-0.1086,0.0000,0.0000,0.0000,0.0000,0.0000
6500000,-6.1884,0.1450,4.2911,0.0000,0.0000,0.0000,0.0000,0.0000
6625000,-0.0012,7.6483,7.5342,0.0000,0.0000,0.0000,0.0000,0.0000
6750000,6.1859,7.5040,8.7488,0.0000,0.0000,0.0000,0.0000,0.0000
6875000,8.7497,-0.1468,7.6105,0.0000,0.0000,0.0000,0.0000,0.0000
7000000,6.1890,-7.6511,4.4250,0.0000,0.0000,0.0000,0.0000,0.0000
7125000,0.0024,-7.4991,0.0516,0.0000,0.0000,0.0000,0.0000,0.0000
7250000,-6.1856,0.1593,-4.3353,0.0000,0.0000,0.0000,0.0000,0.0000
