time_us,shift,param,scene,bpm,err,mute0,mute1,mute2,mute3,mute4,mute5,mute6,mute7
0,9,1,6,0.0,0,0,0,0,0,0,0,0,0
250000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
500000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
750000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
1000000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
1250000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
1500000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
1750000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
2000000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
2250000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
2500000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
2750000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
3000000,9,4,6,120.0,0,0,0,0,0,0,0,0,0
