time_us,out0,out1,out2,out3,out4,out5,out6,out7
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
400000,-8.3234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600000,-8.3191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800000,-5.1373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1000000,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1200000,5.1474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1400000,8.3228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1600000,8.3197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1800000,5.1389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2000000,-0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
