time_us,shift,param,scene,bpm,err,mute0,mute1,mute2,mute3,mute4,mute5,mute6,mute7
0,9,1,6,0.0,0,0,0,0,0,0,0,0,0
100000,9,1,6,0.0,0,0,0,0,0,0,0,0,0
200000,9,1,6,0.0,0,0,0,0,0,0,0,0,0
300000,2,1,6,0.0,0,0,0,0,0,0,0,0,0
400000,2,1,6,0.0,0,0,0,0,0,0,0,0,0
500000,2,1,6,0.0,0,0,0,0,0,0,0,0,0
600000,2,1,6,0.0,0,0,0,0,0,0,0,0,0
700000,2,1,6,0.0,0,0,0,0,0,0,0,0,0
800000,2,1,6,0.0,0,0,0,0,0,0,0,0,0
900000,2,1,6,0.0,0,0,0,0,0,0,0,0,0
1000000,9,1,6,0.0,0,0,0,0,0,0,0,0,0
1100000,9,1,6,0.0,0,0,0,0,0,0,0,0,0
1200000,9,1,6,0.0,0,0,0,0,0,0,0,0,0
1300000,9,1,6,0.0,0,0,0,0,0,0,0,0,0
1400000,3,1,6,0.0,0,0,0,0,0,0,0,0,0
1500000,3,1,6,0.0,0,0,0,0,0,0,0,0,0
1600000,3,1,6,0.0,0,0,0,0,0,0,0,0,0
1700000,3,1,6,0.0,0,0,0,0,0,0,0,0,0
1800000,9,1,6,0.0,0,0,0,0,0,0,0,0,0
1900000,9,1,6,0.0,0,0,0,0,0,0,0,0,0
2000000,9,1,6,0.0,0,0,0,0,0,0,0,0,0
