1779449187.413597 server started (28679): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1779449187.413611 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1779449187.413615 using libevent 2.1.12-stable poll
1779449187.413617 using ncurses 6.4 20240113
1779449187.413657 input_key_build: 0x10e003 (PasteStart) is \033[200~
1779449187.413659 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1779449187.413661 input_key_build: 0x10e195 (F1) is \033OP
1779449187.413663 input_key_build: 0x10e196 (F2) is \033OQ
1779449187.413664 input_key_build: 0x10e197 (F3) is \033OR
1779449187.413666 input_key_build: 0x10e198 (F4) is \033OS
1779449187.413668 input_key_build: 0x10e199 (F5) is \033[15~
1779449187.413669 input_key_build: 0x10e19a (F6) is \033[17~
1779449187.413671 input_key_build: 0x10e19b (F7) is \033[18~
1779449187.413673 input_key_build: 0x10e19c (F8) is \033[19~
1779449187.413674 input_key_build: 0x10e19d (F9) is \033[20~
1779449187.413676 input_key_build: 0x10e19e (F10) is \033[21~
1779449187.413677 input_key_build: 0x10e19f (F11) is \033[23~
1779449187.413679 input_key_build: 0x10e1a0 (F12) is \033[24~
1779449187.413681 input_key_build: 0x10e1a1 (IC) is \033[2~
1779449187.413682 input_key_build: 0x10e1a2 (DC) is \033[3~
1779449187.413689 input_key_build: 0x10e1a3 (Home) is \033[1~
1779449187.413691 input_key_build: 0x10e1a4 (End) is \033[4~
1779449187.413692 input_key_build: 0x10e1a5 (NPage) is \033[6~
1779449187.413694 input_key_build: 0x10e1a6 (PPage) is \033[5~
1779449187.413696 input_key_build: 0x10e1a7 (BTab) is \033[Z
1779449187.413697 input_key_build: 0x10e1a8 (Up) is \033[A
1779449187.413699 input_key_build: 0x10e1a9 (Down) is \033[B
1779449187.413701 input_key_build: 0x10e1aa (Left) is \033[D
1779449187.413702 input_key_build: 0x10e1ab (Right) is \033[C
1779449187.413704 input_key_build: 0x10e1ac (KP/) is /
1779449187.413706 input_key_build: 0x10e1ad (KP*) is *
1779449187.413707 input_key_build: 0x10e1ae (KP-) is -
1779449187.413709 input_key_build: 0x10e1af (KP7) is 7
1779449187.413711 input_key_build: 0x10e1b0 (KP8) is 8
1779449187.413712 input_key_build: 0x10e1b1 (KP9) is 9
1779449187.413714 input_key_build: 0x10e1b2 (KP+) is +
1779449187.413715 input_key_build: 0x10e1b3 (KP4) is 4
1779449187.413717 input_key_build: 0x10e1b4 (KP5) is 5
1779449187.413719 input_key_build: 0x10e1b5 (KP6) is 6
1779449187.413720 input_key_build: 0x10e1b6 (KP1) is 1
1779449187.413722 input_key_build: 0x10e1b7 (KP2) is 2
1779449187.413723 input_key_build: 0x10e1b8 (KP3) is 3
1779449187.413725 input_key_build: 0x10e1b9 (KPEnter) is \n
1779449187.413727 input_key_build: 0x10e1ba (KP0) is 0
1779449187.413728 input_key_build: 0x10e1bb (KP.) is .
1779449187.413732 input_key_build: 0x200000000009 (C-Tab) is \t
1779449187.413734 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1779449187.413736 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1779449187.413738 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1779449187.413739 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1779449187.413741 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1779449187.413743 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1779449187.413744 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1779449187.413746 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1779449187.413748 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1779449187.413749 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1779449187.413751 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1779449187.413753 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1779449187.413754 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1779449187.413756 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1779449187.413758 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1779449187.413760 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1779449187.413761 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1779449187.413763 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1779449187.413765 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1779449187.413771 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1779449187.413772 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1779449187.413774 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1779449187.413776 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1779449187.413778 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1779449187.413779 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1779449187.413781 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1779449187.413783 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1779449187.413784 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1779449187.413786 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1779449187.413788 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1779449187.413792 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1779449187.413793 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
