Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10p,C32949
"C10, C16, C7, C9",0603,4,1u,C15849
"C11, C12, C13, C18, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C46, C5, C6, C78, C82, C83, C93, C94, C95",0402,33,100n,C307331
"C14, C17, C19, C20, C21, C22, C23, C24, C25, C48, C51, C54, C57, C73, C74, C87, C89, C91, C92",0603,19,100n,C14663
"C15, C97, C98",0805,3,22u,C45783
"C44, C45, C47, C49, C50, C52, C53, C55, C56, C58, C59, C61, C62, C64, C65, C67, C8",0402,17,10n,C15195
"C60, C63, C66, C68, C69, C70, C71, C72, C75, C76, C77, C79, C80, C81, C84, C88, C90, C96",0805,18,10u,C237493
"C85, C86",0603,2,680nF,C5143539
D1,0603,1,LED,C2286
F1,1206,1,SMD1206P110TF,C20801
"FB1, FB2, FB3, FB4",0603,4,470R,C114780
"R1, R158, R163, R2",0402,4,5.1k,C25905
"R10, R11, R12, R13, R14, R15, R16, R21, R22, R23, R24, R5",0603,12,10M,C7250
"R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R149, R151, R153, R155, R157, R159, R160, R161, R162, R3, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0402,58,10k,C25744
"R132, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R150, R152, R154, R156, R33, R34, R35, R36, R37, R38, R39, R40, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R7, R8, R9",0402,54,100,C25076
"R17, R18, R19, R20, R25, R26, R27, R28, R29, R30, R31, R32",0603,12,100,C22775
R4,0402,1,1k,C11702
"R42, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83",0402,21,33,C25105
"RV1, RV10, RV11, RV12, RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9",0603,12,B72500D0160H060,C210791
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U9",FSOP-8,21,WS2811F,C5446692
"U30, U31",SSOP-28_5.3x10.2mm_P0.65mm,2,MCP23S17_SS,C128577
U32,TSSOP-20_4.4x6.5mm_P0.65mm,1,TXS0108EPW,C17206
U33,TSSOP-24_4.4x7.8mm_P0.65mm,1,AD7367-5,C650862
"U34, U35",TSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm,2,AD5734R,C578284
U36,LQFP-48_7x7mm_P0.5mm,1,STM32G474CETx,C730125
U37,SSOP-8_3.9x5.05mm_P1.27mm,1,MB85RS64PNF-G-JNERE1,C8741
"U38, U39, U40",TSSOP-14_4.4x5mm_P0.65mm,3,OPA4171,C529553
U41,HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm,1,TLV76733,C2873382
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,38.4MHz 10pF,C3020671
