Designator,Mid X,Mid Y,Rotation,Layer
C1,54.0,-82.3,270.0,bottom
C10,57.15,-67.7,45.0,bottom
C11,63.1,-87.925,45.0,bottom
C12,10.3,-38.0,90.0,bottom
C13,28.3,-38.0,90.0,bottom
C14,13.6,-32.9,180.0,bottom
C15,38.2,-82.8,270.0,bottom
C16,29.0,-82.8,270.0,bottom
C17,15.525,-34.6,0.0,bottom
C18,57.3,-38.0,90.0,bottom
C19,29.0,-85.8,180.0,bottom
C2,51.25,-79.6,0.0,bottom
C20,47.0,-13.9,0.0,bottom
C21,33.0,-13.9,180.0,bottom
C22,21.0,-11.0,0.0,bottom
C23,7.0,-11.0,180.0,bottom
C24,73.0,-11.0,0.0,bottom
C25,59.0,-11.0,180.0,bottom
C26,75.15,-38.0,90.0,bottom
C27,51.7,-56.0,270.0,bottom
C28,69.7,-56.0,270.0,bottom
C29,22.7,-56.0,270.0,bottom
C3,58.1,-83.1,315.0,bottom
C30,4.7,-56.0,270.0,bottom
C31,6.05,-91.0,0.0,bottom
C32,17.55,-91.0,0.0,bottom
C33,29.05,-91.0,0.0,bottom
C34,40.55,-91.0,0.0,bottom
C35,52.05,-91.0,0.0,bottom
C36,63.55,-91.0,0.0,bottom
C37,76.0,-98.3,90.0,bottom
C38,64.5,-98.3,90.0,bottom
C39,53.0,-98.3,90.0,bottom
C4,56.9,-82.5,315.0,bottom
C40,41.5,-98.3,90.0,bottom
C41,30.0,-98.3,90.0,bottom
C42,18.5,-98.3,90.0,bottom
C43,7.0,-98.3,90.0,bottom
C44,12.8,-42.1,90.0,bottom
C45,3.8,-42.1,90.0,bottom
C46,69.05,-72.7,0.0,bottom
C47,30.7,-42.1,90.0,bottom
C48,71.9,-19.2,270.0,bottom
C49,21.7,-42.1,90.0,bottom
C5,64.3,-74.75,135.0,bottom
C50,59.8,-42.1,90.0,bottom
C51,20.0,-19.3,270.0,bottom
C52,50.8,-42.1,90.0,bottom
C53,77.7,-42.1,90.0,bottom
C54,8.0,-19.2,90.0,bottom
C55,68.7,-42.1,90.0,bottom
C56,2.3,-51.9,270.0,bottom
C57,60.1,-19.2,90.0,bottom
C58,11.3,-51.9,270.0,bottom
C59,20.2,-51.9,270.0,bottom
C6,56.5,-69.15,45.0,bottom
C60,57.25,-9.0,0.0,bottom
C61,29.2,-51.9,270.0,bottom
C62,67.2,-51.9,270.0,bottom
C63,5.2,-8.8,0.0,bottom
C64,76.2,-51.9,270.0,bottom
C65,49.3,-51.9,270.0,bottom
C66,63.5,-18.0,180.0,bottom
C67,58.3,-51.9,270.0,bottom
C68,11.6,-18.0,180.0,bottom
C69,68.5,-18.0,180.0,bottom
C7,61.1,-82.35,180.0,bottom
C70,16.5,-18.0,180.0,bottom
C71,74.75,-9.0,0.0,bottom
C72,22.8,-8.8,0.0,bottom
C73,8.1,-25.0,270.0,bottom
C74,59.4,-26.4,180.0,bottom
C75,58.6,-28.6,0.0,bottom
C76,4.4,-25.8,0.0,bottom
C77,36.2,-32.5,180.0,bottom
C78,33.9,-30.6,180.0,bottom
C79,31.2,-11.8,180.0,bottom
C8,53.95,-70.35,135.0,bottom
C80,48.8,-11.8,180.0,bottom
C81,28.6,-26.7,0.0,bottom
C82,33.9,-29.2,180.0,bottom
C83,33.6,-27.7,180.0,bottom
C84,45.18,-49.0,180.0,bottom
C85,46.8,-26.3,0.0,bottom
C86,33.1,-26.3,180.0,bottom
C87,33.1,-24.6,180.0,bottom
C88,28.8,-23.7,180.0,bottom
C89,46.8,-24.6,0.0,bottom
C9,50.65,-70.6,45.0,bottom
C90,49.6,-25.3,270.0,bottom
C91,47.09,-45.28,45.0,bottom
C92,46.5,-57.79,45.0,bottom
C93,44.55,-67.2,45.0,bottom
C94,47.15,-69.9,225.0,bottom
C95,65.0,-76.95,135.0,bottom
C96,27.3,-79.0,270.0,bottom
C97,20.2,-60.2,0.0,bottom
C98,12.9,-60.0,180.0,bottom
C99,44.9,-79.4,90.0,bottom
F1,33.8,-78.1,270.0,bottom
FB1,51.7,-68.5,45.0,bottom
FB2,30.5875,-79.5,180.0,bottom
FB3,15.6,-61.8,270.0,bottom
FB4,17.4,-61.8,270.0,bottom
J1,6.985,-5.0,90.0,top
J10,47.015,-8.0,270.0,top
J11,32.985,-18.0,90.0,top
J12,47.015,-18.0,270.0,top
J14,69.7,-67.6,0.0,top
J2,21.015,-5.0,270.0,top
J3,6.985,-15.0,90.0,top
J4,21.015,-15.0,270.0,top
J5,58.985,-5.0,90.0,top
J6,73.015,-5.0,270.0,top
J7,58.985,-15.0,90.0,top
J8,73.015,-15.0,270.0,top
J9,32.985,-8.0,90.0,top
R1,71.0,-73.25,270.0,bottom
R10,43.2,-20.8,0.0,bottom
R100,74.5,-29.1,0.0,bottom
R101,74.7,-42.1,90.0,bottom
R102,71.7,-42.1,270.0,bottom
R103,70.2,-42.1,90.0,bottom
R104,3.8,-51.9,270.0,bottom
R105,5.3,-65.925,90.0,bottom
R106,5.3,-51.9,270.0,bottom
R107,8.3,-51.9,90.0,bottom
R108,9.8,-51.9,270.0,bottom
R109,21.7,-51.9,270.0,bottom
R11,36.7,-21.1,180.0,bottom
R110,30.9,-60.5,0.0,bottom
R111,23.2,-51.9,270.0,bottom
R112,26.2,-51.9,90.0,bottom
R113,27.7,-51.9,270.0,bottom
R114,68.7,-51.9,270.0,bottom
R115,76.8,-65.54,90.0,bottom
R116,70.2,-51.9,270.0,bottom
R117,73.2,-51.9,90.0,bottom
R118,74.7,-51.9,270.0,bottom
R119,50.8,-51.9,270.0,bottom
R12,34.2,-5.1,180.0,bottom
R120,56.0,-65.0,180.0,bottom
R121,52.3,-51.9,270.0,bottom
R122,55.3,-51.9,90.0,bottom
