time_us,out0,out1,out2,out3,out4,out5,out6,out7
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
250224,-5.8441,-5.8441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
375024,-8.7384,-8.7384,-8.7384,0.0000,0.0000,0.0000,0.0000,0.0000
500136,-6.4551,-6.4551,-6.4551,0.0000,0.0000,0.0000,0.0000,0.0000
625248,-0.3387,2.6846,-0.7269,0.0000,0.0000,0.0000,0.0000,0.0000
750048,5.9607,8.6761,3.2788,0.0000,0.0000,0.0000,0.0000,0.0000
875160,8.7451,4.7733,6.4548,0.0000,0.0000,0.0000,0.0000,0.0000
1000272,6.3492,-4.4724,8.3701,0.0000,0.0000,0.0000,0.0000,0.0000
1125072,0.2191,-8.7289,8.6533,0.0000,0.0000,0.0000,0.0000,0.0000
1250184,-6.0541,-3.4311,6.4139,0.0000,0.0000,0.0000,0.0000,0.0000
1375296,-8.7479,5.5673,1.9107,0.0000,0.0000,0.0000,0.0000,0.0000
1500096,-6.2943,8.5693,-3.2516,0.0000,0.0000,0.0000,0.0000,0.0000
1625208,-0.1273,2.4564,-7.2842,0.0000,0.0000,0.0000,0.0000,0.0000
1750008,6.0980,-6.2326,-8.7485,0.0000,0.0000,0.0000,0.0000,0.0000
1875120,8.7485,-8.3609,-7.1371,0.0000,0.0000,0.0000,0.0000,0.0000
2000232,6.2448,-1.7279,-3.0109,0.0000,0.0000,0.0000,0.0000,0.0000
2125032,0.0858,6.6757,2.1622,0.0000,0.0000,0.0000,0.0000,0.0000
2250144,-6.1389,8.1735,6.5875,0.0000,0.0000,0.0000,0.0000,0.0000
2375256,-8.7491,1.2329,8.6911,0.0000,0.0000,0.0000,0.0000,0.0000
2500056,-6.2296,-6.9507,7.7524,0.0000,0.0000,0.0000,0.0000,0.0000
2625168,-0.0449,-8.0295,4.1782,0.0000,0.0000,0.0000,0.0000,0.0000
2750280,6.1624,-0.9030,-0.7413,0.0000,0.0000,0.0000,0.0000,0.0000
2875080,8.7494,7.1225,-5.3577,0.0000,0.0000,0.0000,0.0000,0.0000
3000192,6.2085,7.9266,-8.2437,0.0000,0.0000,0.0000,0.0000,0.0000
3125304,0.0214,0.6870,-8.5339,0.0000,0.0000,0.0000,0.0000,0.0000
3250104,-6.1636,-7.2388,-6.2167,0.0000,0.0000,0.0000,0.0000,0.0000
3375216,-8.7497,-7.8433,-2.0337,0.0000,0.0000,0.0000,0.0000,0.0000
3500016,-6.2079,-0.5280,2.7164,0.0000,0.0000,0.0000,0.0000,0.0000
3625128,-0.0168,7.3312,6.6562,0.0000,0.0000,0.0000,0.0000,0.0000
3750240,6.1807,7.7802,8.6365,0.0000,0.0000,0.0000,0.0000,0.0000
3875040,8.7497,0.4102,8.1223,0.0000,0.0000,0.0000,0.0000,0.0000
4000152,6.1938,-7.3853,5.2869,0.0000,0.0000,0.0000,0.0000,0.0000
4125264,0.0024,-7.7420,0.9610,0.0000,0.0000,0.0000,0.0000,0.0000
4250064,-6.1758,-0.3421,-3.6111,0.0000,0.0000,0.0000,0.0000,0.0000
4375176,-8.7497,7.4146,-7.1741,0.0000,0.0000,0.0000,0.0000,0.0000
4500288,-6.1868,7.7219,-8.7247,0.0000,0.0000,0.0000,0.0000,0.0000
4625088,-0.0128,0.3073,-7.8549,0.0000,0.0000,0.0000,0.0000,0.0000
4750200,6.1847,-7.4371,-4.8132,0.0000,0.0000,0.0000,0.0000,0.0000
4875000,8.7497,-7.7087,-0.4626,0.0000,0.0000,0.0000,0.0000,0.0000
5000112,6.1896,-0.2399,4.0216,0.0000,0.0000,0.0000,0.0000,0.0000
5125224,-0.0027,7.4646,7.3959,0.0000,0.0000,0.0000,0.0000,0.0000
5250024,-6.1795,7.6889,8.7436,0.0000,0.0000,0.0000,0.0000,0.0000
5375136,-8.7497,0.2090,7.7112,0.0000,0.0000,0.0000,0.0000,0.0000
5500248,-6.1835,-7.4762,4.5795,0.0000,0.0000,0.0000,0.0000,0.0000
5625048,-0.0089,-7.6819,0.2194,0.0000,0.0000,0.0000,0.0000,0.0000
5750160,6.1874,-0.2008,-4.2108,0.0000,0.0000,0.0000,0.0000,0.0000
5875272,8.7497,7.4777,-7.4948,0.0000,0.0000,0.0000,0.0000,0.0000
6000072,6.1929,7.6828,-8.7479,0.0000,0.0000,0.0000,0.0000,0.0000
6125184,-0.0009,0.2066,-7.6407,0.0000,0.0000,0.0000,0.0000,0.0000
6250296,-6.1914,-7.4814,-4.4696,0.0000,0.0000,0.0000,0.0000,0.0000
