time_us,shift,param,scene,bpm,err,mute0,mute1,mute2,mute3,mute4,mute5,mute6,mute7
0,9,5,6,0.0,0,0,0,0,0,0,0,0,0
250224,9,4,6,119.9,0,0,0,0,0,0,0,0,0
500136,9,4,6,120.0,0,0,0,0,0,0,0,0,0
750048,9,4,6,120.0,0,0,0,0,0,0,0,0,0
1000272,9,4,6,120.0,0,0,0,0,0,0,0,0,0
1250184,9,4,6,120.0,0,0,0,0,0,0,0,0,0
1500096,9,4,6,120.0,0,0,0,0,0,0,0,0,0
1750008,9,4,6,120.0,0,0,0,0,0,0,0,0,0
2000232,9,4,6,120.0,0,0,0,0,0,0,0,0,0
2250144,9,4,6,120.0,0,0,0,0,0,0,0,0,0
2500056,9,4,6,120.0,0,0,0,0,0,0,0,0,0
2750280,9,4,6,120.0,0,0,0,0,0,0,0,0,0
