time_us,out0,out1,out2,out3,out4,out5,out6,out7
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
400296,-8.3261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600288,-8.3163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800280,-5.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1000272,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1200264,5.1541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1400256,8.3252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1600248,8.3173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1800240,5.1331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
