time_us,out0,out1,out2,out3,out4,out5,out6,out7
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
250224,-6.1975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
500136,-8.7497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
750048,-6.1804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1000272,0.0146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1250184,6.1954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1500096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1750008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2000232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2250144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2500056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2750280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
