time_us,led0_r,led0_g,led0_b,led1_r,led1_g,led1_b,led2_r,led2_g,led2_b,led3_r,led3_g,led3_b,led4_r,led4_g,led4_b,led5_r,led5_g,led5_b,led6_r,led6_g,led6_b,led7_r,led7_g,led7_b,led8_r,led8_g,led8_b,led9_r,led9_g,led9_b,led10_r,led10_g,led10_b,led11_r,led11_g,led11_b,led12_r,led12_g,led12_b,led13_r,led13_g,led13_b,led14_r,led14_g,led14_b,led15_r,led15_g,led15_b,led16_r,led16_g,led16_b,led17_r,led17_g,led17_b,led18_r,led18_g,led18_b,led19_r,led19_g,led19_b,led20_r,led20_g,led20_b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,916,510,512,0,0,380,512,1111,4,0,68,512,0,0,2161,55313,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519,0,0,0,0,0,0,0,605,0,916,510,512,0,0,380,512,1111,4,0,2051,15446,0,0,68,1729,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750000,0,0,0,0,0,0,0,0,0,0,0,0,3323,0,0,0,1519,0,0,0,0,0,0,0,605,0,916,510,512,0,0,380,512,1111,4,0,2051,15446,0,0,68,1729,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0,0,0,0,0,0,0,0,0,0,0,0,3323,0,0,0,1519,0,0,0,0,0,0,0,605,0,916,510,512,0,0,380,512,1111,4,0,2051,15446,0,0,68,1729,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250000,0,0,0,0,0,0,0,0,0,0,0,0,3323,0,0,0,1519,0,0,0,0,0,0,0,605,0,916,510,512,0,0,380,512,1111,4,0,2051,15446,0,0,68,1729,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,1121,605,0,916,11214,11258,0,0,380,512,1111,4,0,68,512,0,0,68,1729,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,67,355,0,1980,1121,605,0,916,11214,11258,0,0,380,512,1111,4,0,68,512,0,0,68,1729,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,67,355,0,1980,1121,605,0,916,11214,11258,0,0,380,512,1111,4,0,68,512,0,0,68,1729,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,67,355,0,1980,1121,605,0,916,11214,11258,0,0,380,512,1111,4,0,68,512,0,0,68,1729,4629,4629,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
