time_us,shift,param,scene,bpm,err,mute0,mute1,mute2,mute3,mute4,mute5,mute6,mute7
0,9,5,6,0.0,0,0,0,0,0,0,0,0,0
100000,9,5,6,0.0,0,0,0,0,0,0,0,0,0
200000,9,5,6,0.0,0,0,0,0,0,0,0,0,0
300000,9,5,6,0.0,0,0,0,0,0,0,0,0,0
400000,9,5,6,0.0,0,0,0,0,0,0,0,0,0
500000,2,5,6,0.0,0,0,0,0,0,0,0,0,0
600000,2,5,6,0.0,0,0,0,0,0,0,0,0,0
700000,2,5,6,0.0,0,0,0,0,0,0,0,0,0
800000,2,5,6,0.0,0,0,0,0,0,0,0,0,0
900000,2,5,6,0.0,0,0,0,0,0,0,0,0,0
1000000,2,5,6,0.0,0,0,0,0,0,0,0,0,0
1100000,2,5,6,0.0,0,0,0,0,0,0,0,0,0
1200000,9,2,6,0.0,0,0,0,0,0,0,0,0,0
1300000,9,2,6,0.0,0,0,0,0,0,0,0,0,0
1400000,9,2,6,0.0,0,0,0,0,0,0,0,0,0
1500000,9,2,6,0.0,0,0,0,0,0,0,0,0,0
1600000,9,2,6,0.0,0,0,0,0,0,0,0,0,0
1700000,9,2,6,0.0,0,0,0,0,0,0,0,0,0
1800000,3,2,6,0.0,0,0,0,0,0,0,0,0,0
1900000,3,2,6,0.0,0,0,0,0,0,0,0,0,0
2000000,3,2,6,0.0,0,0,0,0,0,0,0,0,0
2100000,3,2,6,0.0,0,0,0,0,0,0,0,0,0
2200000,9,3,6,0.0,0,0,0,0,0,0,0,0,0
2300000,9,3,6,0.0,0,0,0,0,0,0,0,0,0
2400000,9,3,6,0.0,0,0,0,0,0,0,0,0,0
